molecule_chembl_id,canonical_smiles,standard_type,standard_value,pchembl_value,assay_chembl_id,assay_description,target_chembl_id,target_pref_name,target_organism,standard_units_norm,IC50_nM,pIC50
CHEMBL1627209,O=C(N[C@@H]1c2ccccc2C[C@@H]1O)[C@@H](Cc1ccccc1)C[S+]([O-])C[C@H](Cc1ccccc1)C(=O)N[C@@H]1c2ccccc2C[C@@H]1O,IC50,21.1,7.68,CHEMBL899796,Inhibition of HIV1 recombinant protease,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,21.1,7.675717544702307
CHEMBL1627287,N=[S+]([O-])([C@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O)[C@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O,IC50,153.9,6.81,CHEMBL899796,Inhibition of HIV1 recombinant protease,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,153.9,6.812761380168521
CHEMBL1627235,N=[S+]([O-])([C@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O)[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O,IC50,37.3,7.43,CHEMBL899796,Inhibition of HIV1 recombinant protease,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,37.3,7.428291168191312
CHEMBL1627210,N=[S+]([O-])(C[C@H](Cc1ccccc1)C(=O)N[C@@H]1c2ccccc2C[C@@H]1O)C[C@H](Cc1ccccc1)C(=O)N[C@@H]1c2ccccc2C[C@@H]1O,IC50,2.5,8.6,CHEMBL899796,Inhibition of HIV1 recombinant protease,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,2.5,8.602059991327963
CHEMBL396814,O=C(N[C@H]1c2ccccc2C[C@H]1O)[C@@H](Cc1ccccc1)C[S+]([O-])C[C@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O,IC50,10000.0,,CHEMBL899796,Inhibition of HIV1 recombinant protease,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,10000.0,5.0
CHEMBL396813,O=C(N[C@H]1c2ccccc2C[C@H]1O)[C@H](Cc1ccccc1)C[S+]([O-])C[C@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O,IC50,53.1,7.28,CHEMBL899796,Inhibition of HIV1 recombinant protease,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,53.1,7.274905478918531
CHEMBL5483011,CC(C)(C)NC(=O)[C@@H]1CN(Cc2cccnc2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O.O,IC50,0.6,9.22,CHEMBL940805,Inhibition of wild type HIV1 NL4-3 protease,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,0.6,9.221848749616356
CHEMBL397402,Cc1cccc(C)c1CNC(=O)[C@@H]1CCCCN1C(=O)[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2OC[C@H]1O,IC50,42.0,7.38,CHEMBL940805,Inhibition of wild type HIV1 NL4-3 protease,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,42.0,7.376750709602099
CHEMBL247614,Cc1cccc(C)c1CNC(=O)[C@@H]1CCCN1C(=O)[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2OC[C@H]1O,IC50,14.0,7.85,CHEMBL940805,Inhibition of wild type HIV1 NL4-3 protease,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,14.0,7.853871964321762
CHEMBL247432,Cc1cccc(C)c1CNC(=O)[C@@H]1CCN1C(=O)[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2OC[C@H]1O,IC50,90.0,7.05,CHEMBL940805,Inhibition of wild type HIV1 NL4-3 protease,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,90.0,7.045757490560675
